lambda,thetai,phi,thetar,phir,f_r11,f_r12/f_r11,f_r13/f_r11,f_r14/f_r11,f_r21/f_r11,f_r22/f_r11,f_r23/f_r11,f_r24/f_r11,f_r31/f_r11,f_r32/f_r11,f_r33/f_r11,f_r34/f_r11,f_r41/f_r11,f_r42/f_r11,f_r43/f_r11,f_r44/f_r11
0.532,62.48769628,-115.6769228,59.20815627,77.80894,0.363732716,-0.019330578,0.013968108,-0.001453803,-0.008826893,0.048448817,0.142969296,-0.00150011,0.03333624,-0.154007877,0.031433689,-0.035672095,-0.001307932,-0.040308417,0.025642253,0.090934394
0.532,10.07212662,-129.63409,39.06961995,43.31472784,0.325569328,0.009929007,-0.014764436,-0.026114885,-0.00172924,0.020358441,0.006000616,-0.024658451,0.000694289,0.011570649,-0.03418333,-0.00199277,0.005630416,-0.016456348,-0.013323772,-0.001571542
0.532,60.3755905,-152.249432,41.25210298,-0.772588344,0.338646954,0.009914616,-0.008741001,-0.012816938,0.015711374,0.059171391,-0.053341809,-0.035065017,0.013582512,0.081868248,0.02501152,0.036396862,-0.009046038,-0.000993098,-0.050400553,0.055382552
0.532,57.10778003,63.92737414,48.74925053,-31.06790504,0.310301683,-0.001700872,0.03747115,-0.001298805,-0.023771145,0.040799776,-0.055147665,-0.005666915,0.005892221,0.001959661,-0.000410418,-0.02382654,-0.009308938,0.009684943,0.014557641,0.026858084
0.532,20.68676911,-52.5759391,18.37742963,161.1855675,0.335661223,0.01192224,0.010451316,0.006204946,0.004675612,0.040393087,0.006877069,0.022079627,-0.001234283,0.003642683,-0.03947424,0.000358163,0.013781027,0.009909589,-0.000792447,-0.028557389
0.532,63.63955685,-170.1956286,64.79240309,78.53843855,0.316525378,-0.023190385,-0.018167776,-3.06E-05,0.017768873,-0.056317268,-0.034578487,-0.01823431,0.027277884,0.013342303,-0.044780033,-0.002812478,-0.025159174,0.000859568,-0.00634991,0.045613915
0.532,62.07124832,-37.24424722,22.98102775,86.85586537,0.308165189,-0.019377693,0.002691732,-0.010790684,0.004458802,0.000795864,0.00103976,0.029189109,-0.03039045,0.034126654,-0.053969684,-0.008664138,-0.006792025,0.036459551,0.009666639,0.00945122
0.532,31.99818572,81.06709085,49.41487729,113.2590604,0.308609187,-0.003039094,-0.037047112,-0.006854576,-0.010221752,0.028276472,0.015429175,-0.00369101,0.018194193,-0.003421329,-0.021295128,0.00710818,-0.004015603,-0.019884035,-0.002352059,-0.016043941
0.532,60.82091876,106.231193,15.50556506,59.66807252,0.299496604,-0.000375087,0.012564407,-0.000633975,-0.009118505,0.020246763,-0.017823776,0.0053521,-0.019159465,0.004133115,-0.021594478,-0.005623487,-0.001952525,0.01032239,-0.0098338,-0.007388851
0.532,21.76854813,-170.4519042,23.85689913,-8.835014965,0.33015527,0.010783292,0.003440511,0.002441578,0.009054338,0.042405245,0.003516309,-0.007048852,-0.018911863,0.006557956,-0.039343244,0.002992787,-0.001836274,-0.004343133,-0.024081239,-0.001922314
0.532,47.29419613,-168.6402324,53.66589923,136.3800541,0.300407356,-0.015057378,0.000263216,-0.017120102,-0.016403811,0.015651839,-0.019382129,0.016839381,0.014273372,-0.002338427,-0.037594852,-0.00995631,-0.00048091,-0.000586484,0.020730927,0.004022355
0.532,60.59352339,149.1553962,64.816355,51.95801903,0.309696944,-0.00696991,-0.013768706,0.002618014,0.030547074,0.034638022,-0.069934574,-0.010155613,-0.008715019,0.01817783,0.045691586,0.013067989,-0.005796345,-0.018595658,-0.021415775,0.038163488
0.532,63.04066032,5.008355965,70.13673645,-161.8272423,0.448443394,0.038530357,-0.013839773,-0.017039868,0.029922944,0.24216375,-0.199919663,0.025755803,0.005573818,0.164090354,0.201865387,0.072545333,-0.021676387,-0.060491703,-0.029835515,0.206939645
0.532,16.70138676,55.01755625,30.08222939,93.60015386,0.326774676,-0.004706059,0.003602467,-0.000844876,-0.004879903,0.022656642,0.005883478,-0.011040947,0.013805077,-0.006272051,-0.042890592,0.009335955,-0.001206792,0.021701522,-0.016131863,-0.014418365
0.532,57.36730842,-121.2578183,55.63518061,-89.65616989,0.285973372,0.00985516,0.016955888,-0.00915673,0.003207063,0.055675593,0.021686737,-0.002437911,-0.005873237,0.021026334,-0.049679038,-0.00147531,0.008505947,-0.009101897,-0.011930519,-0.004578828
0.532,21.72074286,68.42540639,23.07170991,132.8809055,0.32603164,0.012736901,0.003589229,-0.00098341,-0.00970241,0.033754758,0.005356802,-0.001765414,0.004569405,0.017840729,-0.034459911,0.009988147,0.017684598,-0.011797059,0.010901967,-0.032570272
0.532,57.52807212,106.2430211,63.95921146,61.44593569,0.292147577,0.00231897,-0.007928607,-0.007868146,0.021627695,0.03171579,-0.017222612,-0.019820459,0.003206097,-0.029148203,-0.027282911,0.011954373,-0.00788372,-0.003844056,0.004483572,-0.00503421
0.532,59.30021837,-92.72083262,35.93645277,-27.44801122,0.301483603,0.007646359,-0.001375057,-0.001620934,-0.013372169,0.028716379,0.022538459,-0.012999386,0.010694088,0.033910495,-0.043136321,-0.014984143,0.000965055,-0.020037899,0.003330519,-0.005438002
0.532,24.52824281,109.4375959,52.31729781,140.9328899,0.306893775,0.015784216,-0.020849504,-0.018584816,0.00732223,0.009649735,0.019389521,0.002294663,0.018250475,0.023785043,-0.040241687,-0.000727145,0.005695914,0.006946569,0.008346268,-0.017391655
0.532,57.09220635,13.04305159,45.89079114,95.97474507,0.298890192,0.013142901,0.021370434,-0.002779083,0.006046716,0.003755336,0.029158356,0.022363403,-0.02127847,0.000145269,-0.03101803,0.003318583,0.004696991,0.010989002,-0.019594049,0.01482535
0.532,62.841061,108.4440349,53.70098928,-30.77959491,0.34424765,0.023638769,0.029450707,-0.005491702,-0.036865551,-0.078435041,-0.069447651,0.028929186,-0.027043589,0.049673124,-0.119105103,-0.025596222,0.006852358,0.056835044,-0.00858833,0.071527722
0.532,63.33173034,-119.5181008,36.85303256,-111.9067134,0.291226238,0.009751792,0.003965748,0.005585991,0.004832669,0.049904265,-0.001575031,-0.002631892,-0.003010037,0.002769916,-0.0458076,-0.006894781,-0.001967487,-0.014051299,0.002185578,-0.003478755
0.532,30.06971131,87.90590564,64.55899509,3.136863468,0.301639256,-0.020569079,-0.024605421,-0.009438051,-0.027099673,0.027610155,0.004463603,0.029743946,0.001514264,-0.049927429,-0.023885188,0.030449295,0.008254974,0.038631191,-0.020566024,0.008740991
0.532,14.00723951,-134.9508244,26.78760853,75.13371772,0.327169721,0.012229278,-0.024732376,0.011003294,-0.002004086,0.022385778,-0.000348307,0.008514207,0.006669594,-0.007624142,-0.035948774,-0.010632877,-0.002468181,-0.003704642,0.005609165,-0.013211109
