lambda,thetai,phi,thetar,phir,f_r11,f_r12/f_r11,f_r13/f_r11,f_r14/f_r11,f_r21/f_r11,f_r22/f_r11,f_r23/f_r11,f_r24/f_r11,f_r31/f_r11,f_r32/f_r11,f_r33/f_r11,f_r34/f_r11,f_r41/f_r11,f_r42/f_r11,f_r43/f_r11,f_r44/f_r11
0.351,-0.001,0,53.7288,-119.745,3.09E-01,-0.020063,-0.0115842,-0.0129086,-0.00796823,0.0362249,0.00615271,0.0121965,0.000275145,-0.0030619,-0.0414351,-0.0101282,1.34E-05,0.00395511,-0.000926089,-0.0134203
0.351,-0.001,0,46.1462,-123.69,3.15E-01,-0.00320274,-0.0115016,-0.00128759,0.0120447,0.0194467,-0.0139537,-0.0215124,0.0108771,-0.0310976,-0.0277699,-0.0181834,0.000340731,-0.0209243,0.0019053,-0.0170477
0.351,-0.001,0,39.8151,-128.66,3.18E-01,0.00229286,-0.00208611,0.000448216,-0.0125498,0.0377031,9.88E-05,0.0228346,0.00365346,-0.00322508,-0.0512097,-0.00084021,0.00416498,0.010475,0.00116147,-0.00322265
0.351,-0.001,0,34.4499,-135,3.21E-01,0.00130083,-0.005679,-0.00184634,-0.0136807,0.0451929,0.00405566,0.00621922,0.00209795,0.012044,-0.0308173,0.00149847,-0.00611141,0.00174579,0.00390905,-0.00983802
0.351,-0.001,0,30,-143.13,3.23E-01,0.00231978,-0.00465076,0.00493852,-0.00845678,0.0408621,0.00190873,0.00499567,0.00307537,0.0146139,-0.0208428,-0.00549075,-0.00513446,-0.00580296,0.00175065,-0.00420075
0.351,-0.001,0,26.5651,-153.435,3.25E-01,0.0090258,0.0004808,0.00174211,-0.0035468,0.0130844,-0.0160689,-0.00128899,0.00278987,0.0124628,-0.0052647,0.0131978,-0.00515679,-0.012087,-0.0146568,-0.0171936
0.351,-0.001,0,24.3501,-165.964,3.23E-01,-0.00204372,-0.00344413,0.00205521,0.00579479,0.0291609,0.000434373,0.00389447,0.00497696,-0.006265,-0.0278978,-0.00170487,0.00360168,0.00333819,-0.0161432,-0.0167124
0.351,-0.001,0,23.5782,180,3.26E-01,0.00829582,-0.0051411,-0.00279905,0.00987948,0.027646,-0.0101862,-0.0212805,0.0052773,-0.00381968,-0.0342503,0.00586694,-0.00306849,0.00043999,0.00712462,-0.00899857
0.351,-0.001,0,24.3501,165.964,3.23E-01,0.00141969,0.00105734,0.00621073,-0.00343068,0.0291144,-0.011653,0.00237158,-0.0128644,-0.023269,-0.022315,0.0126019,0.0026601,0.00680395,0.00591143,-0.0172525
0.351,-0.001,0,26.5651,153.435,3.23E-01,0.00692168,0.00410178,-0.00449564,0.000399231,0.0189159,-0.00666127,0.00861952,0.00148876,0.00377995,-0.0208391,-0.0132632,0.00568959,0.0100242,0.000536069,-0.0198153
0.351,-0.001,0,30,143.13,3.22E-01,-0.00366719,0.000495058,0.000627377,0.00423163,0.0298544,0.00357572,0.00234822,0.00437375,-0.000121275,-0.026935,0.00180954,-0.005282,-0.00938495,-0.00100263,-0.00228007
0.351,-0.001,0,34.4499,135,3.19E-01,-0.00418331,0.00086419,-0.000133171,0.00274928,0.0264533,0.0106853,-0.0153343,0.000986272,0.00176015,-0.0250006,-0.00668051,-0.00827331,0.000448194,-0.0108587,-0.00358248
0.351,-0.001,0,39.8151,128.66,3.18E-01,-0.00227198,0.00688545,0.00451529,-0.00628885,0.0238723,0.00246123,0.0116193,-0.00181565,-0.00586906,-0.0350421,0.0100508,0.00924202,0.002855,0.0104131,-0.0170167
0.351,-0.001,0,46.1462,123.69,3.12E-01,-0.0125693,-4.99E-05,0.00711147,-0.00177504,0.0297625,-0.0105407,0.00474242,-0.00708521,0.00174258,-0.0254744,0.0074252,-0.00643093,0.00207431,-0.00296222,-0.00282882
0.351,-0.001,0,53.7288,119.745,3.06E-01,-0.00812966,0.0161384,-0.00285483,1.81E-05,0.00343457,-0.0197666,0.0229867,-0.0029572,0.0079756,-0.0175093,-0.0121933,0.00416429,0.00407839,0.0223858,-0.0175506
0.351,-0.001,0,63.4349,116.565,2.97E-01,-0.000223684,0.00746327,0.000598202,-0.00699251,0.0124421,0.0116026,0.0295875,-0.00973963,0.00919917,-0.0303415,-0.00436021,-0.000124489,-0.000849633,0.00950696,-0.00783053
0.351,-0.001,0,80.0258,113.962,2.62E-01,0.0024838,0.0501095,0.0240749,0.0104129,-0.0416188,-0.0280189,0.0354264,-0.0127791,0.0545432,0.0520663,-0.0249463,-0.0328609,0.00254763,-0.0851746,0.046854
0.351,-0.001,0,71.5651,-108.435,2.85E-01,-0.0184573,-0.00835368,0.00792666,-0.00855827,0.0488791,0.00902523,-0.00565355,0.0111269,-0.0256606,-0.0292649,0.0113169,0.010097,-0.0219944,0.0186235,-0.0105066
0.351,-0.001,0,58.6936,-110.556,3.02E-01,-0.00145503,-0.00386679,-0.00723518,-0.0115311,0.0339285,0.0140459,0.000866176,-0.00549639,-0.0581558,-0.00464185,-0.0223743,-0.00452651,-0.0137949,0.0119091,0.00378197
0.351,-0.001,0,49.6034,-113.199,3.09E-01,0.000867642,-0.010605,-0.00149606,-0.00319099,0.0230768,-0.0148753,-0.0129835,0.0127252,-0.0138095,-0.00860468,-0.020046,-0.00253486,-0.00758062,0.0143785,-0.00516027
0.351,-0.001,0,42.1304,-116.565,3.15E-01,0.0119354,-0.00584949,0.00697975,-0.00312351,0.04914,-0.0101716,9.80E-05,0.0107191,-0.0167877,-0.0222843,-0.00362962,-0.0016591,-0.00262962,-0.00724548,-0.0169332
0.351,-0.001,0,35.6685,-120.964,3.18E-01,0.00950454,-0.00405763,-0.000677187,-0.00547949,0.0289561,-0.00246697,0.000621881,-0.00485614,0.0219591,-0.0258179,0.00911695,0.0030284,-0.0113243,-0.00562903,-0.0229875
0.351,-0.001,0,30,-126.87,3.20E-01,0.0108769,0.00313211,0.000953989,-0.00281258,0.0234015,-0.00857914,0.00203506,-0.000410548,-0.00806657,-0.0356334,-0.0044669,0.00260267,-2.33E-05,-0.000505383,-0.0124073
0.351,-0.001,0,25.1041,-135,3.22E-01,0.00180592,-0.00373376,0.00219601,-0.000311145,0.0311834,-0.00220084,-0.00264695,0.00248637,0.00103774,-0.0256569,0.0018976,-0.00149842,0.00449714,0.00950637,-0.0146412
0.351,-0.001,0,21.1343,-146.31,3.26E-01,0.00324978,-0.00325863,0.000817897,-0.0103961,0.046021,0.00921865,0.0146349,0.00787951,-0.0126189,-0.0458741,-0.0134455,0.002335,0.00149578,-0.0107245,-0.020088
0.351,-0.001,0,18.4349,-161.565,3.29E-01,0.00777368,-0.00564243,-0.00231765,-0.00940915,0.0308716,0.0196436,0.0153568,0.00524508,-0.00500739,-0.0366463,0.00314051,-0.00341825,-0.000748874,0.00240813,-0.0143627
0.351,-0.001,0,17.4576,180,3.29E-01,0.00223349,0.00647884,0.00282027,-0.000573147,0.0296601,-0.0120166,-0.0036674,-0.0013479,-0.00968234,-0.0199562,0.00849131,0.00258663,0.00483297,-0.0101546,-0.0247501
