lambda,Sta_01,Sta_02,Sta_03,Sta_04,Sta_05,Sta_06,Sta_07,Sta_08,Sta_09,Sta_10
658,0.51975,1.12172,1.10304,1.17816,1.22207,1.42006,1.22769,1.08043,0.61809,0.74383
659,0.52183,1.12498,1.10617,1.18063,1.22428,1.42334,1.23058,1.08332,0.62007,0.74629
660,0.52574,1.13215,1.11319,1.18722,1.23072,1.43155,1.23771,1.09005,0.62424,0.7514
661,0.53195,1.14435,1.12513,1.19915,1.24274,1.44622,1.25043,1.10167,0.63119,0.75985
662,0.5375,1.15532,1.13579,1.2099,1.25369,1.45957,1.26203,1.11209,0.6374,0.76741
663,0.54092,1.16195,1.14217,1.21626,1.26018,1.46762,1.2691,1.11832,0.64116,0.77202
664,0.54218,1.16417,1.14423,1.21817,1.26203,1.47017,1.27141,1.12033,0.64245,0.77367
665,0.5425,1.16458,1.14453,1.21837,1.2621,1.4706,1.27186,1.12062,0.64265,0.77407
666,0.54198,1.16335,1.14323,1.21699,1.26053,1.46906,1.27058,1.1193,0.64191,0.77333
667,0.54104,1.16132,1.14116,1.21486,1.25818,1.46659,1.26849,1.11723,0.6407,0.77204
668,0.54019,1.15954,1.1394,1.21304,1.25619,1.46452,1.26673,1.11546,0.63966,0.77094
669,0.53943,1.15798,1.13789,1.21151,1.25448,1.46281,1.26529,1.11393,0.63873,0.77
670,0.53857,1.15622,1.1362,1.20981,1.25258,1.46089,1.26364,1.1122,0.63768,0.76892
671,0.53759,1.15424,1.13428,1.20789,1.25044,1.45869,1.26173,1.11023,0.63651,0.76766
672,0.53669,1.15245,1.13256,1.20618,1.24852,1.45674,1.26003,1.10842,0.63542,0.76652
673,0.53569,1.15043,1.13064,1.20427,1.24643,1.45454,1.25811,1.10642,0.63421,0.76524
674,0.53455,1.14813,1.12847,1.20213,1.24408,1.45203,1.25593,1.10418,0.63285,0.76379
675,0.53343,1.1459,1.12637,1.20008,1.24181,1.44959,1.25384,1.10201,0.63155,0.76239
676,0.5325,1.14416,1.12476,1.19852,1.24007,1.44774,1.25228,1.1003,0.6305,0.76129
677,0.53161,1.1425,1.12323,1.19704,1.23843,1.44597,1.25082,1.09868,0.62946,0.76024
678,0.53042,1.14023,1.12108,1.1949,1.23616,1.44342,1.24868,1.09644,0.62808,0.75876
679,0.5287,1.1369,1.11786,1.19162,1.23275,1.4395,1.24535,1.09315,0.6261,0.75654
680,0.52608,1.13188,1.11286,1.18656,1.22756,1.43344,1.24015,1.08823,0.62311,0.75306
681,0.51992,1.12036,1.10125,1.17455,1.21546,1.41911,1.22765,1.07685,0.61602,0.7445
682,0.50993,1.10186,1.08261,1.15508,1.19579,1.39579,1.20717,1.05855,0.6045,0.73048
683,0.49818,1.08024,1.0609,1.13226,1.1726,1.3683,1.18294,1.03724,0.591,0.714
684,0.48803,1.06174,1.04236,1.11276,1.15275,1.34478,1.16222,1.019,0.57936,0.69982
685,0.47959,1.04649,1.02707,1.09682,1.13652,1.32551,1.14524,1.00395,0.56969,0.68809
686,0.47217,1.03332,1.0139,1.08352,1.12299,1.30931,1.13097,0.991,0.5613,0.67801
687,0.46516,1.02137,1.00202,1.0723,1.11165,1.2954,1.11872,0.97934,0.55362,0.66893
688,0.45755,1.00892,0.98976,1.0617,1.10108,1.28191,1.1068,0.96741,0.5456,0.65954
689,0.44975,0.99643,0.97762,1.05179,1.09129,1.26902,1.09539,0.95564,0.53756,0.65024
690,0.44331,0.98623,0.96791,1.04424,1.08385,1.25895,1.08647,0.94615,0.53103,0.64284
691,0.44209,0.98515,0.96739,1.04572,1.0853,1.25984,1.08726,0.94563,0.53034,0.64256
692,0.44596,0.99294,0.97568,1.05604,1.09562,1.27162,1.09775,0.9538,0.53532,0.6492
693,0.4516,1.00388,0.98702,1.06971,1.10945,1.28763,1.11204,0.965,0.54231,0.65831
694,0.45448,1.00995,0.99352,1.07882,1.11875,1.298,1.12133,0.97151,0.54631,0.66379
695,0.45487,1.01154,0.99558,1.08336,1.12349,1.30283,1.12573,0.97369,0.54754,0.66589
696,0.45399,1.01049,0.99496,1.08471,1.12494,1.30391,1.12683,0.97323,0.54719,0.66599
697,0.45313,1.00873,0.99349,1.08424,1.12439,1.30305,1.12623,0.9719,0.54651,0.66553
698,0.45404,1.00929,0.99415,1.08476,1.12462,1.30375,1.12704,0.97261,0.54737,0.66679
699,0.4565,1.0123,0.99709,1.08686,1.12635,1.3067,1.12981,0.97547,0.5497,0.66971
700,0.45903,1.01565,1.00023,1.08922,1.12837,1.31004,1.13291,0.97856,0.5521,0.67268
701,0.46006,1.01668,1.00108,1.08974,1.12865,1.31098,1.13391,0.97945,0.55297,0.67383
702,0.46025,1.01632,1.00062,1.08915,1.12789,1.31046,1.1336,0.97905,0.55296,0.67396
703,0.46079,1.01634,1.00052,1.08875,1.12728,1.3102,1.1335,0.97903,0.55327,0.67445
704,0.46282,1.01848,1.00243,1.08982,1.12807,1.31194,1.13519,0.98101,0.55502,0.67662
705,0.46595,1.02225,1.00589,1.09221,1.1301,1.31537,1.13835,0.98454,0.55785,0.68004
706,0.46956,1.02672,1.01004,1.09525,1.13278,1.31966,1.14227,0.98878,0.56117,0.68404
707,0.47281,1.03063,1.01369,1.09792,1.13512,1.32347,1.14576,0.99256,0.56417,0.68765
708,0.47489,1.03269,1.01555,1.09904,1.13596,1.32535,1.14756,0.99458,0.56599,0.68987
709,0.4755,1.03233,1.01506,1.09817,1.13482,1.32463,1.14707,0.99432,0.56629,0.69029
710,0.47407,1.02864,1.01134,1.09459,1.13107,1.32042,1.14349,0.99094,0.56451,0.68822
711,0.46887,1.01868,1.00151,1.08588,1.12243,1.30961,1.13406,0.98172,0.55882,0.68148
712,0.45809,0.99925,0.98243,1.06927,1.10613,1.28861,1.11562,0.96364,0.54731,0.66776
713,0.4428,0.97171,0.95555,1.04549,1.08273,1.25845,1.08913,0.93802,0.53099,0.64831
714,0.42556,0.94068,0.9254,1.01857,1.05616,1.22421,1.05907,0.90913,0.51259,0.62643
715,0.40958,0.91202,0.89769,0.99373,1.03158,1.19254,1.03128,0.88247,0.4956,0.60628
716,0.39738,0.89031,0.87681,0.97516,1.01313,1.1687,1.01036,0.86237,0.48271,0.59109
717,0.38775,0.87325,0.86035,0.9607,0.99884,1.15018,0.99414,0.84658,0.47255,0.57914
718,0.37759,0.85531,0.84295,0.94549,0.98393,1.13078,0.97714,0.82996,0.46184,0.56649
719,0.3654,0.83378,0.82205,0.92715,0.96595,1.10739,0.9566,0.81003,0.44898,0.55125
720,0.35393,0.81335,0.80227,0.90974,0.9488,1.0851,0.93702,0.79113,0.43681,0.53687
721,0.34624,0.79933,0.78879,0.89776,0.93686,1.06973,0.92355,0.77823,0.42859,0.52723
722,0.34414,0.79493,0.78469,0.89391,0.9328,1.0648,0.9193,0.77432,0.42625,0.52464
723,0.34644,0.79849,0.78825,0.8971,0.9357,1.06891,0.92296,0.7778,0.4286,0.52766
724,0.35076,0.80578,0.79531,0.90369,0.94204,1.07739,0.93045,0.78471,0.43309,0.53321
725,0.35411,0.81148,0.80072,0.909,0.94723,1.08429,0.93652,0.79007,0.43656,0.53748
726,0.35487,0.8124,0.80144,0.91008,0.94827,1.08585,0.93788,0.7909,0.43718,0.53831
727,0.35554,0.81267,0.8016,0.91042,0.9484,1.0864,0.93833,0.79116,0.43758,0.53893
728,0.35978,0.81856,0.8073,0.91538,0.95291,1.09289,0.94405,0.79672,0.44161,0.54389
729,0.36838,0.8316,0.81995,0.92629,0.96319,1.10708,0.95662,0.80897,0.45012,0.55419
