lambda,Sta_01,Sta_02,Sta_03,Sta_04,Sta_05,Sta_06,Sta_07,Sta_08,Sta_09,Sta_10
682,NA,NA,NA,NA,NA,NA,NA,1.31873,NA,NA
683,NA,NA,NA,NA,NA,NA,NA,1.30024,NA,NA
684,NA,NA,NA,NA,NA,NA,NA,1.28182,NA,NA
685,NA,NA,NA,NA,NA,NA,NA,1.26085,NA,NA
686,NA,NA,NA,NA,NA,NA,NA,1.24093,NA,NA
687,NA,NA,NA,NA,NA,NA,NA,1.22662,NA,NA
688,NA,NA,NA,NA,NA,NA,NA,1.21524,NA,NA
689,NA,NA,NA,NA,NA,NA,NA,1.2061,NA,NA
690,NA,NA,NA,NA,NA,NA,NA,1.20186,NA,NA
691,NA,NA,NA,NA,NA,NA,NA,1.20302,NA,NA
692,NA,NA,NA,NA,NA,NA,NA,1.20625,NA,NA
693,NA,NA,NA,NA,NA,NA,NA,1.2099,NA,NA
694,NA,NA,NA,NA,NA,NA,NA,1.21257,NA,NA
695,NA,NA,NA,NA,NA,NA,NA,1.21507,NA,NA
696,NA,NA,NA,NA,NA,NA,NA,1.2174,NA,NA
697,NA,NA,NA,NA,NA,NA,NA,1.21935,NA,NA
698,NA,NA,NA,NA,NA,NA,NA,1.22111,NA,NA
699,NA,NA,NA,NA,NA,NA,NA,1.2229,NA,NA
700,NA,NA,NA,NA,NA,NA,NA,1.22465,NA,NA
701,NA,NA,NA,NA,NA,NA,NA,1.2265,NA,NA
702,NA,NA,NA,NA,NA,NA,NA,1.2286,NA,NA
703,NA,NA,NA,NA,NA,NA,NA,1.23083,NA,NA
704,NA,NA,NA,NA,NA,NA,NA,1.23338,NA,NA
705,NA,NA,NA,NA,NA,NA,NA,1.23658,NA,NA
706,NA,NA,NA,NA,NA,NA,NA,1.23915,NA,NA
707,NA,NA,NA,NA,NA,NA,NA,1.23967,NA,NA
708,NA,NA,NA,NA,NA,NA,NA,1.23806,NA,NA
709,NA,NA,NA,NA,NA,NA,NA,1.23474,NA,NA
710,NA,NA,NA,NA,NA,NA,NA,1.23002,NA,NA
711,NA,NA,NA,NA,NA,NA,NA,1.21758,NA,NA
712,NA,NA,NA,NA,NA,NA,NA,1.19579,NA,NA
713,NA,NA,NA,NA,NA,NA,NA,1.17131,NA,NA
714,NA,NA,NA,NA,NA,NA,NA,1.14719,NA,NA
715,NA,NA,NA,NA,NA,NA,NA,1.11939,NA,NA
716,NA,NA,NA,NA,NA,NA,NA,1.09194,NA,NA
717,NA,NA,NA,NA,NA,NA,NA,1.0682,NA,NA
718,NA,NA,NA,NA,NA,NA,NA,1.04503,NA,NA
719,NA,NA,NA,NA,NA,NA,NA,1.0249,NA,NA
720,NA,NA,NA,NA,NA,NA,NA,1.01193,NA,NA
721,NA,NA,NA,NA,NA,NA,NA,1.00349,NA,NA
