wl [nm]	refractive_index 	+/- error 
at T=15.0 degC, S=34.0 PSU, depol.ratio=0.039, Theta=90.0 deg
1308.0	   1.3295361447	   0.0005000000
1310.0	   1.3295121447	   0.0005000000
1312.0	   1.3294891447	   0.0005000000
1314.0	   1.3294651447	   0.0005000000
1316.0	   1.3294411447	   0.0005000000
1318.0	   1.3294181447	   0.0005000000
1320.0	   1.3293941447	   0.0005000000
1322.0	   1.3293701447	   0.0005000000
1324.0	   1.3293461447	   0.0005000000
1326.0	   1.3293221447	   0.0005000000
1328.0	   1.3292981447	   0.0005000000
1330.0	   1.3292741447	   0.0005000000
1332.0	   1.3292501447	   0.0005000000
1334.0	   1.3292251447	   0.0005000000
1336.0	   1.3292011447	   0.0005000000
1338.0	   1.3291771447	   0.0005000000
1340.0	   1.3291531447	   0.0005000000
1342.0	   1.3291281447	   0.0005000000
1344.0	   1.3291031447	   0.0005000000
1346.0	   1.3290781447	   0.0005000000
1348.0	   1.3290541447	   0.0005000000
1350.0	   1.3290301447	   0.0005000000
1352.0	   1.3290051447	   0.0005000000
1354.0	   1.3289791447	   0.0005000000
1356.0	   1.3289541447	   0.0005000000
1358.0	   1.3289301447	   0.0005000000
1360.0	   1.3289051447	   0.0005000000
1362.0	   1.3288791447	   0.0005000000
1364.0	   1.3288541447	   0.0005000000
1366.0	   1.3288291447	   0.0005000000
1368.0	   1.3288041447	   0.0005000000
1370.0	   1.3287791447	   0.0005000000
1372.0	   1.3287551447	   0.0005000000
1374.0	   1.3287301447	   0.0005000000
1376.0	   1.3287061447	   0.0005000000
1378.0	   1.3286811447	   0.0005000000
1380.0	   1.3286561447	   0.0005000000
1382.0	   1.3286321447	   0.0005000000
1384.0	   1.3286091447	   0.0005000000
1386.0	   1.3285851447	   0.0005000000
1388.0	   1.3285601447	   0.0005000000
1390.0	   1.3285361447	   0.0005000000
1392.0	   1.3285131447	   0.0005000000
1394.0	   1.3284911447	   0.0005000000
1396.0	   1.3284671447	   0.0005000000
1398.0	   1.3284431447	   0.0005000000
1400.0	   1.3284201447	   0.0005000000
1402.0	   1.3283991447	   0.0005000000
1404.0	   1.3283781447	   0.0005000000
1406.0	   1.3283551447	   0.0005000000
1408.0	   1.3283321447	   0.0005000000
1410.0	   1.3283101447	   0.0005000000
1412.0	   1.3282901447	   0.0005000000
1414.0	   1.3282701447	   0.0005000000
1416.0	   1.3282471447	   0.0005000000
1418.0	   1.3282251447	   0.0005000000
1420.0	   1.3282031447	   0.0005000000
1422.0	   1.3281831447	   0.0005000000
1424.0	   1.3281631447	   0.0005000000
1426.0	   1.3281431447	   0.0005000000
1428.0	   1.3281221447	   0.0005000000
1430.0	   1.3281011447	   0.0005000000
1432.0	   1.3280811447	   0.0005000000
1434.0	   1.3280621447	   0.0005000000
1436.0	   1.3280421447	   0.0005000000
1438.0	   1.3280221447	   0.0005000000
1440.0	   1.3280021447	   0.0005000000
1442.0	   1.3279821447	   0.0005000000
1444.0	   1.3279621447	   0.0005000000
1446.0	   1.3279421447	   0.0005000000
1448.0	   1.3279231447	   0.0005000000
1450.0	   1.3279041447	   0.0005000000
1452.0	   1.3278831447	   0.0005000000
1454.0	   1.3278621447	   0.0005000000
1456.0	   1.3278421447	   0.0005000000
1458.0	   1.3278231447	   0.0005000000
1460.0	   1.3278031447	   0.0005000000
1462.0	   1.3277821447	   0.0005000000
1464.0	   1.3277601447	   0.0005000000
1466.0	   1.3277391447	   0.0005000000
1468.0	   1.3277191447	   0.0005000000
1470.0	   1.3276991447	   0.0005000000
1472.0	   1.3276761447	   0.0005000000
1474.0	   1.3276531447	   0.0005000000
1476.0	   1.3276311447	   0.0005000000
1478.0	   1.3276101447	   0.0005000000
1480.0	   1.3275891447	   0.0005000000
1482.0	   1.3275651447	   0.0005000000
1484.0	   1.3275411447	   0.0005000000
1486.0	   1.3275191447	   0.0005000000
1488.0	   1.3274971447	   0.0005000000
1490.0	   1.3274741447	   0.0005000000
1492.0	   1.3274491447	   0.0005000000
1494.0	   1.3274231447	   0.0005000000
1496.0	   1.3274001447	   0.0005000000
1498.0	   1.3273771447	   0.0005000000
1500.0	   1.3273531447	   0.0005000000
1502.0	   1.3273271447	   0.0005000000
1504.0	   1.3273011447	   0.0005000000
1506.0	   1.3272771447	   0.0005000000
1508.0	   1.3272531447	   0.0005000000
1510.0	   1.3272281447	   0.0005000000
1512.0	   1.3272011447	   0.0005000000
1514.0	   1.3271751447	   0.0005000000
1516.0	   1.3271491447	   0.0005000000
1518.0	   1.3271241447	   0.0005000000
1520.0	   1.3270981447	   0.0005000000
1522.0	   1.3270711447	   0.0005000000
1524.0	   1.3270441447	   0.0005000000
1526.0	   1.3270181447	   0.0005000000
1528.0	   1.3269921447	   0.0005000000
1530.0	   1.3269651447	   0.0005000000
1532.0	   1.3269371447	   0.0005000000
1534.0	   1.3269091447	   0.0005000000
1536.0	   1.3268821447	   0.0005000000
1538.0	   1.3268561447	   0.0005000000
1540.0	   1.3268281447	   0.0005000000
1542.0	   1.3268001447	   0.0005000000
1544.0	   1.3267721447	   0.0005000000
1546.0	   1.3267451447	   0.0005000000
1548.0	   1.3267171447	   0.0005000000
1550.0	   1.3266901447	   0.0005000000
1552.0	   1.3266611447	   0.0005000000
1554.0	   1.3266331447	   0.0005000000
1556.0	   1.3266051447	   0.0005000000
1558.0	   1.3265771447	   0.0005000000
1560.0	   1.3265491447	   0.0005000000
1562.0	   1.3265211447	   0.0005000000
1564.0	   1.3264921447	   0.0005000000
1566.0	   1.3264641447	   0.0005000000
1568.0	   1.3264361447	   0.0005000000
1570.0	   1.3264071447	   0.0005000000
1572.0	   1.3263781447	   0.0005000000
1574.0	   1.3263491447	   0.0005000000
1576.0	   1.3263201447	   0.0005000000
1578.0	   1.3262911447	   0.0005000000
1580.0	   1.3262631447	   0.0005000000
1582.0	   1.3262341447	   0.0005000000
1584.0	   1.3262041447	   0.0005000000
1586.0	   1.3261751447	   0.0005000000
1588.0	   1.3261461447	   0.0005000000
1590.0	   1.3261171447	   0.0005000000
1592.0	   1.3260871447	   0.0005000000
1594.0	   1.3260571447	   0.0005000000
1596.0	   1.3260281447	   0.0005000000
1598.0	   1.3259981447	   0.0005000000
1600.0	   1.3259691447	   0.0005000000
1602.0	   1.3259391447	   0.0005000000
1604.0	   1.3259091447	   0.0005000000
1606.0	   1.3258801447	   0.0005000000
1608.0	   1.3258501447	   0.0005000000
1610.0	   1.3258211447	   0.0005000000
1612.0	   1.3257911447	   0.0005000000
1614.0	   1.3257611447	   0.0005000000
1616.0	   1.3257321447	   0.0005000000
1618.0	   1.3257021447	   0.0005000000
1620.0	   1.3256721447	   0.0005000000
1622.0	   1.3256421447	   0.0005000000
1624.0	   1.3256111447	   0.0005000000
1626.0	   1.3255811447	   0.0005000000
1628.0	   1.3255501447	   0.0005000000
1630.0	   1.3255191447	   0.0005000000
1632.0	   1.3254881447	   0.0005000000
1634.0	   1.3254581447	   0.0005000000
1636.0	   1.3254271447	   0.0005000000
1638.0	   1.3253961447	   0.0005000000
1640.0	   1.3253651447	   0.0005000000
1642.0	   1.3253341447	   0.0005000000
1644.0	   1.3253031447	   0.0005000000
1646.0	   1.3252721447	   0.0005000000
1648.0	   1.3252421447	   0.0005000000
1650.0	   1.3252101447	   0.0005000000
